Year,Total Trades,Wins,Losses,Pct Gain (%),Avg Gain (%),Win Rate (%),Equity ($),Cumulative Return (%),Average Annual Gain (%)
2016,19.0,7.0,12.0,0.3884235095030848,0.020443342605425515,36.84210526315789,100.38842350950307,0.3884235095030848,7.792987438200845
2017,14.0,9.0,5.0,41.693043145330776,2.9780745103807695,64.28571428571429,142.24341223623756,42.08146665483386,7.792987438200845
2018,20.0,9.0,11.0,-10.172207390516459,-0.508610369525823,45.0,127.77411734422022,31.909259264317402,7.792987438200845
2019,19.0,10.0,9.0,32.27652734405697,1.6987645970556302,52.63157894736842,169.0151652674549,64.18578660837437,7.792987438200845
2020,25.0,13.0,12.0,-29.79794972407367,-1.1919179889629468,52.0,118.65211129499868,34.3878368843007,7.792987438200845
2021,29.0,10.0,19.0,-35.15395879490312,-1.2122054756863145,34.48275862068966,76.94119698107225,-0.766121910602422,7.792987438200845
2022,29.0,12.0,17.0,37.76179714606139,1.3021309360710824,41.37931034482759,105.99557570681625,36.99567523545897,7.792987438200845
2023,19.0,8.0,11.0,46.239814092687794,2.4336744259309366,42.10526315789473,155.00773286012225,83.23548932814677,7.792987438200845
2024,23.0,8.0,15.0,-17.2404822441632,-0.7495861845288347,34.78260869565217,128.28365219929293,65.99500708398357,7.792987438200845
2025,14.0,5.0,9.0,11.934867298024905,0.8524905212874933,35.714285714285715,143.59413585433836,77.92987438200848,7.792987438200845
TOTAL (10 Years),,,,43.594135854338354,,,143.59413585433836,77.92987438200848,7.792987438200845
